,NÂº,Date,Time,Country,League,Home,Away,Odds_H_X,Odds_H_A,Odds_X_A,Pred_H,Pred_A
0,32,2024-01-28,03:00,AUSTRALIA,A-LEAGUE - ROUND 14,Macarthur FC,Perth Glory,1.30,1.18,1.95,0.49,0.51
1,3,2024-01-28,09:00,FRANCE,LIGUE 1 - ROUND 19,Montpellier,Lille,1.80,1.26,1.30,0.44,0.56
2,4,2024-01-28,11:00,FRANCE,LIGUE 1 - ROUND 19,Clermont Foot,Strasbourg,1.55,1.30,1.44,0.66,0.34
3,5,2024-01-28,11:00,FRANCE,LIGUE 1 - ROUND 19,Lorient,Le Havre,1.55,1.32,1.42,0.75,0.25
4,6,2024-01-28,11:00,FRANCE,LIGUE 1 - ROUND 19,Reims,Nantes,1.22,1.22,2.00,0.75,0.25
5,7,2024-01-28,13:05,FRANCE,LIGUE 1 - ROUND 19,Toulouse,Lens,1.80,1.26,1.30,0.35,0.65
6,8,2024-01-28,16:45,FRANCE,LIGUE 1 - ROUND 19,Paris Saint Germain,Brest,1.07,1.12,3.20,0.77,0.23
7,9,2024-01-28,11:30,GERMANY,BUNDESLIGA - ROUND 19,Union Berlin,Darmstadt 98,1.17,1.22,2.25,0.83,0.17
8,10,2024-01-28,13:30,GERMANY,BUNDESLIGA - ROUND 19,Dortmund,Bochum,1.08,1.11,3.20,0.92,0.08
9,11,2024-01-28,08:30,ITALY,SERIE A - ROUND 22,Genoa,Lecce,1.25,1.32,1.78,0.59,0.41
10,12,2024-01-28,11:00,ITALY,SERIE A - ROUND 22,Monza,Sassuolo,1.36,1.26,1.70,0.62,0.38
11,13,2024-01-28,11:00,ITALY,SERIE A - ROUND 22,Hellas Verona,Frosinone,1.42,1.28,1.58,0.59,0.41
12,14,2024-01-28,14:00,ITALY,SERIE A - ROUND 22,Lazio,Napoli,1.33,1.30,1.68,0.61,0.39
13,15,2024-01-28,16:45,ITALY,SERIE A - ROUND 22,Fiorentina,Internazionale,1.96,1.24,1.24,0.45,0.55
14,16,2024-01-28,08:15,NETHERLANDS,EREDIVISIE - ROUND 19,Heerenveen,AZ Alkmaar,1.75,1.25,1.35,0.54,0.46
15,17,2024-01-28,10:30,NETHERLANDS,EREDIVISIE - ROUND 19,Feyenoord,Twente,1.10,1.15,2.85,0.64,0.36
16,18,2024-01-28,10:30,NETHERLANDS,EREDIVISIE - ROUND 19,Go Ahead Eagles,NEC Nijmegen,1.36,1.24,1.75,0.5,0.5
17,19,2024-01-28,12:45,NETHERLANDS,EREDIVISIE - ROUND 19,Volendam,Fortuna Sittard,1.83,1.25,1.30,0.54,0.46
18,20,2024-01-28,10:00,SPAIN,LALIGA - ROUND 22,Celta Vigo,Girona,1.62,1.26,1.42,0.5,0.5
19,21,2024-01-28,12:15,SPAIN,LALIGA - ROUND 22,Cadiz,Athletic Club,2.15,1.25,1.16,0.41,0.59
20,22,2024-01-28,14:30,SPAIN,LALIGA - ROUND 22,Sevilla,Osasuna,1.30,1.28,1.75,0.49,0.51
21,23,2024-01-28,17:00,SPAIN,LALIGA - ROUND 22,Atletico Madrid,Valencia,1.11,1.19,2.60,0.79,0.21
